,id,tags,light,point,nearby,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,road_conditions,victim_counts,victim_categories,geometry,victim_role,victim_gender,victim_violations,victim_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,guilty_role,guilty_gender,guilty_violations,guilty_health_status,guilty_years_of_driving_experience,season,month,day_of_week,time_of_day,hijri,hijri_month_name,in_first_three_days_of_shawwal,vehicle_year_bin_eq_width,guilty_driving_experience_bin
490,2760176,ДТП,"В темное время суток, освещение включено","{lat: 43.264628, long: 44.809971}"," Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Нерегулируемый пешеходный переход ",Назрановский район,600.0,"с Барсуки, ул Б.Зязикова, 49",Ясно,Съезд с дороги,2022-09-29 22:45:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,1,Автомобиль,POINT (44.809971 43.264628),,,,,2008.0,ВАЗ,Многоцветный,Priora,B — маленькие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Несоблюдение требований ОСАГО",Стационарный раненый,15.0,Summer,9,Thursday,night,1444-03-03,Rabi Al-Awwal,0,2005-2009,16-20
491,2760181,ДТП,Светлое время суток,"{lat: 43.257846, long: 44.825592}", АЗС ,Назрановский район,200.0,"с/п Барсуки, Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 574 км",Дождь,Столкновение,2022-09-24 16:55:00,С погибшими,1,0,Республика Ингушетия,Мокрое,2,Автомобиль,POINT (44.825592 43.257846),,,,,2008.0,ВАЗ,Иные цвета,Kalina,B — маленькие автомобили,Водитель,Мужской,Uknown,Не пострадал,3.0,Summer,9,Saturday,day,1444-02-28,Safar,0,2005-2009,0-5
492,2760179,ДТП,"В темное время суток, без освещения","{lat: 43.202298, long: 44.870578}", Иной объект ,Назрановский район,600.0,"с Экажево, ул В.Джабагиева, *",Ясно,Съезд с дороги,2022-09-28 22:15:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,1,Автомобиль,POINT (44.870578 43.202298),,,,,2021.0,ВАЗ,Белый,Granta (Гранта),C — среднеразмерные автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Управление ТС лицом, не имеющим права на управление ТС, Эксплуатация незарегистрированного ТС, Несоблюдение требований ОСАГО",Стационарный раненый,,Summer,9,Wednesday,night,1444-03-02,Rabi Al-Awwal,0,2020-2024,
493,2760185,ДТП,Светлое время суток,"{lat: 43.290163, long: 44.931647}",Uknown,Назрановский район,930.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 585 км",Ясно,Наезд на препятствие,2022-09-12 15:45:00,С погибшими,1,5,Республика Ингушетия,Сухое,9,Автомобиль,POINT (44.931647 43.290163),,,,,2003.0,ВАЗ,Серый,ВАЗ 2112 и модификации,B — маленькие автомобили,Водитель,Мужской,"Нарушение правил расположения ТС на проезжей части, Управление ТС лицом, лишенным права управления, Оставление места ДТП, Несоблюдение требований ОСАГО, Отказ водителя от прохождения медицинского освидетельствования на состояние опьянения",Не пострадал,,Summer,9,Monday,day,1444-02-16,Safar,0,2000-2004,
494,2760187,ДТП,"В темное время суток, освещение включено","{lat: 43.256393, long: 44.803684}", Жилые дома индивидуальной застройки ,Назрановский район,900.0,"с Барсуки, ул Б.Зязикова, 10",Ясно,Наезд на животное,2022-09-12 19:05:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,1,Автомобиль,POINT (44.803684 43.256393),,,,,2003.0,ВАЗ,Зеленый," Жигули  ВАЗ-2108, 09 и модификации                       ",B — маленькие автомобили,Пассажир,Женский,Uknown,Скончался,,Summer,9,Monday,evening,1444-02-16,Safar,0,2000-2004,
495,2760191,ДТП,Светлое время суток,"{lat: 43.239028, long: 44.613043}", Жилые дома индивидуальной застройки ,Назрановский район,860.0,"с Кантышево, ул Грейдерная, 58",Ясно,Наезд на велосипедиста,2022-09-05 18:25:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,2,Двухколесный транспорт,POINT (44.613043 43.239028),,,,,2006.0,ВАЗ,Белый, Жигули  ВАЗ-2105 модификации,B — маленькие автомобили,Пассажир,Мужской,Uknown,Амбулаторный раненый,,Summer,9,Monday,evening,1444-02-09,Safar,0,2005-2009,
496,2448403,ДТП с Детьми,Светлое время суток,"{lat: 43.278271, long: 44.865933}",Uknown,Назрановский район,200.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 580 км",Ясно,Столкновение,2017-12-31 16:00:00,С погибшими,3,3,Республика Ингушетия,Сухое,6,Дети,POINT (44.865933 43.278271),,,,,2012.0,ВАЗ,Иные цвета,Granta (Гранта),B — маленькие автомобили,Водитель,Мужской,Несоблюдение требований ОСАГО,Не пострадал,6.0,Fall,12,Sunday,day,1439-04-13,Rabi Al-Thani,0,2010-2014,6-10
497,2630102,ДТП,"В темное время суток, без освещения","{lat: 43.289608, long: 44.94863}",Uknown,Назрановский район,70.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 585 км",Ясно,Столкновение,2021-09-20 19:45:00,Легкий,0,2,Республика Ингушетия,Сухое,3,Автомобиль,POINT (44.94863 43.289608),,,,,2009.0,ВАЗ,Иные цвета,Priora,C — среднеразмерные автомобили,Водитель,Мужской,"Нарушение правил расположения ТС на проезжей части, Несоблюдение требований ОСАГО",Не пострадал,5.0,Summer,9,Monday,evening,1443-02-13,Safar,0,2005-2009,6-10
498,2718966,ДТП,"В темное время суток, освещение включено","{lat: 43.28393, long: 44.839475}"," Остановка общественного транспорта, Регулируемый перекресток, Регулируемый пешеходный переход ",Назрановский район,710.0,"с Плиево, ул Осканова, 91",Пасмурно,Наезд на пешехода,2022-01-04 17:30:00,Тяжёлый,0,1,Республика Ингушетия,Мокрое,2,Пешеходы,POINT (44.839475 43.28393),Пешеход,Женский,Неподчинение сигналам регулирования,Стационарный раненый,2011.0,ВАЗ,Белый,ВАЗ 2115 и модификации,C — среднеразмерные автомобили,Водитель,Мужской,Uknown,Не пострадал,13.0,Winter,1,Tuesday,evening,1443-06-01,Jumada Al-Thani,0,2010-2014,11-15
499,2718968,ДТП,Светлое время суток,"{lat: 43.333294, long: 44.819841}",Uknown,Назрановский район,50.0,"с Плиево, Ср. Ачалуки-Плиево, 4 км",Ясно,Столкновение,2022-01-19 13:00:00,Тяжёлый,0,1,Республика Ингушетия,Мокрое,2,Автомобиль,POINT (44.819841 43.333294),,,,,2002.0,ВАЗ,Серый,"ВАЗ 2110, 21101, 21102, 21103, 21108",C — среднеразмерные автомобили,Водитель,Мужской,"Несоблюдение условий, разрешающих движение транспорта задним ходом, Несоблюдение требований ОСАГО",Не пострадал,9.0,Winter,1,Wednesday,day,1443-06-16,Jumada Al-Thani,0,2000-2004,6-10
500,2718971,ДТП,Светлое время суток,"{lat: 43.255916, long: 44.818994}", Мост ,Назрановский район,200.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 573 км",Дождь,Столкновение,2022-01-09 08:20:00,С погибшими,1,0,Республика Ингушетия,Мокрое,2,Автомобиль,POINT (44.818994 43.255916),,,,,2014.0,HYUNDAI,Белый,Прочие модели Hyundai,M — минивэны и коммерческие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Несоблюдение требований ОСАГО",Амбулаторный раненый,18.0,Winter,1,Sunday,morning,1443-06-06,Jumada Al-Thani,0,2010-2014,16-20
501,2718976,ДТП с Детьми,Светлое время суток,"{lat: 43.199373, long: 44.792848}", Жилые дома индивидуальной застройки ,Назрановский район,880.0,"с Экажево, ул Экажева, 58",Ясно,Наезд на пешехода,2022-03-20 15:35:00,Тяжёлый,0,1,Республика Ингушетия,"Мокрое, Отсутствие, плохая различимость горизонтальной разметки проезжей части",2,Дети,POINT (44.792848 43.199373),Пешеход,Женский,,Стационарный раненый,2006.0,ВАЗ,Зеленый,ВАЗ 2115 и модификации,B — маленькие автомобили,Водитель,Мужской,"Нарушение правил перестроения, Выезд на полосу встречного движения в местах, где это запрещено, Управление ТС в состоянии наркотического опьянения, Управление ТС лицом, не имеющим права на управление ТС, Несоблюдение требований ОСАГО",Амбулаторный раненый,,Winter,3,Sunday,day,1443-08-17,Shaban,0,2005-2009,
502,2718980,ДТП,"В темное время суток, освещение включено","{lat: 43.252799, long: 44.81585}",Uknown,Назрановский район,610.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 573 км",Снегопад,Съезд с дороги,2022-03-28 02:35:00,Легкий,0,1,Республика Ингушетия,Мокрое,1,Автомобиль,POINT (44.81585 43.252799),,,,,2008.0,ВАЗ,Иные цвета,ВАЗ 2114 и модификации,B — маленькие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Управление ТС лицом, не имеющим права на управление ТС, Несоблюдение требований ОСАГО",Не пострадал,,Winter,3,Monday,night,1443-08-25,Shaban,0,2005-2009,
503,2718984,ДТП,Светлое время суток,"{lat: 43.270503, long: 44.815679}", Нерегулируемый перекрёсток неравнозначных улиц (дорог) ,Назрановский район,210.0,"с Барсуки, ул И.Зязикова, 50",Ясно,Столкновение,2022-03-07 14:40:00,Тяжёлый,0,6,Республика Ингушетия,Сухое,7,Автомобиль,POINT (44.815679 43.270503),,,,,2011.0,ВАЗ,Многоцветный,Priora,B — маленькие автомобили,Водитель,Мужской,Неправильный выбор дистанции,Амбулаторный раненый,18.0,Winter,3,Monday,day,1443-08-04,Shaban,0,2010-2014,16-20
504,2718988,ДТП,Светлое время суток,"{lat: 43.207172, long: 44.814471}"," Жилые дома индивидуальной застройки, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Нерегулируемый перекрёсток ",Назрановский район,860.0,"с Экажево, ул Осканова, б н",Ясно,Наезд на пешехода,2022-03-05 17:40:00,Легкий,0,1,Республика Ингушетия,"Сухое, Отсутствие, плохая различимость горизонтальной разметки проезжей части, Дефекты покрытия, Отсутствие дорожных знаков в необходимых местах",2,Пешеходы,POINT (44.814471 43.207172),Пешеход,Женский,,Амбулаторный раненый,2011.0,ВАЗ,Иные цвета, Жигули  ВАЗ-2107 модификации,B — маленькие автомобили,Водитель,Мужской,"Несоответствие скорости конкретным условиям движения, Светопропускание стекол менее нормативного, Эксплуатация незарегистрированного ТС",Стационарный раненый,18.0,Winter,3,Saturday,evening,1443-08-02,Shaban,0,2010-2014,16-20
505,2718994,ДТП,"В темное время суток, без освещения","{lat: 43.275151, long: 44.857392}",Uknown,Назрановский район,70.0,"Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление), 578 км",Ясно,Столкновение,2022-06-29 21:00:00,Легкий,0,1,Республика Ингушетия,Сухое,2,Автомобиль,POINT (44.857392 43.275151),,,,,2008.0,NISSAN,Белый,Almera,B — маленькие автомобили,Водитель,Мужской,"Нарушение водителем правил применения ремней безопасности (ставится в случае, когда не пристегнут водитель), Светопропускание стекол менее нормативного, Эксплуатация незарегистрированного ТС, Оставление места ДТП, Непредоставление преимущества в движении пешеходу",Не пострадал,9.0,Spring,6,Wednesday,night,1443-11-30,Dhu Al-Qadah,0,2005-2009,6-10
506,2718998,ДТП,"В темное время суток, без освещения","{lat: 43.366701, long: 44.749975}", Жилые дома индивидуальной застройки ,Назрановский район,600.0,"с/п Барсуки, Ср. Ачалуки-Плиево, 4 км",Ясно,Съезд с дороги,2022-06-29 01:00:00,Тяжёлый,0,1,Республика Ингушетия,Сухое,1,Автомобиль,POINT (44.749975 43.366701),,,,,2009.0,ВАЗ,Многоцветный,ВАЗ 2114 и модификации,B — маленькие автомобили,Водитель,Мужской,"Неправильный выбор дистанции, Управление ТС в состоянии наркотического опьянения",Стационарный раненый,24.0,Spring,6,Wednesday,night,1443-11-30,Dhu Al-Qadah,0,2005-2009,21-25
507,2719002,ДТП,"В темное время суток, освещение включено","{lat: 43.288772, long: 44.908805}"," Жилые дома индивидуальной застройки, АЗС ",Назрановский район,840.0,"с Яндаре, ул Орджоникидзе, 1",Ясно,Наезд на пешехода,2022-06-28 23:00:00,С погибшими,1,0,Республика Ингушетия,Сухое,2,Пешеходы,POINT (44.908805 43.288772),Пешеход,Мужской,,Скончался,2005.0,ВАЗ,Многоцветный,ВАЗ 2115 и модификации,B — маленькие автомобили,Пассажир,Мужской,Uknown,Не пострадал,,Spring,6,Tuesday,night,1443-11-29,Dhu Al-Qadah,0,2005-2009,
